專屬碼	名稱	說明	對應的裝備	販售價個	回收價格	需求量	需求金額	對應物升2星需求量	對應物升2星需求金錢	對應物升3星需求量	對應物升3星需求金錢	對應物升4星需求量	對應物升4星需求金錢	對應物升5星需求量	對應物升5星需求金錢	出處
0502007	9302007	9150001	0102007	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502008	9302008	9150001	0102008	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0502009	9302009	9150001	0102009	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	drop
0502010	9302010	9150001	0102010	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0502011	9302011	9150001	0102011	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0502012	9302012	9150001	0102012	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502013	9302013	9150001	0102013	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502014	9302014	9150001	0102014	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0502015	9302015	9150001	0102015	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502016	9302016	9150001	0102016	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0502017	9302017	9150001	0102017	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0502018	9302018	9150001	0102018	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502019	9302019	9150001	0102019	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0502020	9302020	9150001	0102020	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	basic
0502021	9302021	9150001	0102021	{"1":17500,"2":50,"3":100,"4":50}	175	30	6000	30	27000	40	35000	100	120000	130	225000	none
0502022	9302022	9150001	0102022	{"1":17500,"2":50,"3":100,"4":50}	175	30	6000	30	27000	40	35000	100	120000	130	225000	none
0502023	9302023	9150001	0102023	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0502024	9302024	9150001	0102024	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	0	drop
0502025	9302025	9150001	0102025	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0502026	9302026	9150001	0102026	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0502027	9302027	9150001	0102027	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	none
0502028	9302028	9150001	0102028	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502029	9302029	9150001	0102029	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	pvp
0502030	9302030	9150001	0102030	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	eshop
0502031	9302031	9150001	0102031	{"1":17500,"2":50,"3":100,"4":50}	175	30	6000	30	27000	40	35000	100	120000	130	225000	none
0502032	9302032	9150001	0102032	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502033	9302033	9150001	0102033	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502034	9302034	9150001	0102034	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502035	9302035	9150001	0102035	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0502036	9302036	9150001	0102036	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0502037	9302037	9150001	0102037	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0502038	9302038	9150001	0102038	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	gdraw
0502039	9302039	9150001	0102039	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	gdraw
0502040	9302040	9150001	0102040	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0502041	9302041	9150001	0102041	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0502042	9302042	9150001	0102042	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0502043	9302043	9150001	0102043	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	0	shop
0502044	9302044	9150001	0102044	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	gdraw
0502045	9302045	9150001	0102045	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	shop
0502046	9302046	9150001	0102046	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0502047	9302047	9150001	0102047	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	pvp
0502048	9302048	9150001	0102048	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502049	9302049	9150001	0102049	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	shop
0502050	9302050	9150001	0102050	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	shop
0502051	9302051	9150001	0102051	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	gdraw
0502052	9302052	9150001	0102052	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	vdraw
0502053	9302053	9150001	0102053	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502054	9302054	9150001	0102054	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	v10draw
0502055	9302055	9150001	0102055	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	vdraw
0502056	9302056	9150001	0102056	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	vdraw
0502057	9302057	9150001	0102057	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	vdraw
0502058	9302058	9150001	0102058	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	shop
0502059	9302059	9150001	0102059	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0502060	9302060	9150001	0102060	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	v10draw
0502061	9302061	9150001	0102061	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v10draw
0502062	9302062	9150001	0102062	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502063	9302063	9150001	0102063	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0502064	9302064	9150001	0102064	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	eshop
0502065	9302065	9150001	0102065	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502066	9302066	9150001	0102066	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0502067	9302067	9150001	0102067	{"1":17500,"2":50,"3":100,"4":50}	175	30	6000	30	27000	40	35000	100	120000	130	225000	none
0502068	9302068	9150001	0102068	{"1":17500,"2":50,"3":100,"4":50}	175	30	6000	30	27000	40	35000	100	120000	130	225000	none
0502069	9302069	9150001	0102069	{"1":17500,"2":50,"3":100,"4":50}	175	30	6000	30	27000	40	35000	100	120000	130	225000	none
0502070	9302070	9150001	0102070	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502071	9302071	9150001	0102071	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	none
0502072	9302072	9150001	0102072	{"1":17500,"2":50,"3":100,"4":50}	175	100	35000	30	27000	40	35000	100	120000	130	225000	none
0502073	9302073	9150001	0102073	{"1":17500,"2":50,"3":100,"4":50}	175	100	35000	30	27000	40	35000	100	120000	130	225000	none
0502101	9302074	9150001	0102101	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0502102	9302075	9150001	0102102	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0502103	9302076	9150001	0102103	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0502104	9302077	9150001	0102104	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0502105	9302078	9150001	0102105	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0502106	9302079	9150001	0102106	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	v2draw
0502501	9302080	9150001	0102501	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0502502	9302081	9150001	0102502	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0502503	9302082	9150001	0102503	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0502504	9302083	9150001	0102504	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	
0502505	9302084	9150001	0102505	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0502506	9302085	9150001	0102506	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0502074	9302086	9150001	0102074	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502075	9302087	9150001	0102075	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v10draw
0502076	9302088	9150001	0102076	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	none
0502077	9302089	9150001	0102077	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502078	9302090	9150001	0102078	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0502079	9302091	9150001	0102079	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502080	9302092	9150001	0102080	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502081	9302093	9150001	0102081	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	none
0502082	9302094	9150001	0102082	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	none
0502083	9302095	9150001	0102083	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0502084	9302096	9150001	0102084	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0502085	9302097	9150001	0102085	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0502086	9302098	9150001	0102086	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502087	9302099	9150001	0102087	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502088	9302100	9150001	0102088	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	none
0502089	9302101	9150001	0102089	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502090	9302102	9150001	0102090	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502091	9302103	9150001	0102091	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502092	9302104	9150001	0102092	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0502093	9302105	9150001	0102093	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502094	9302106	9150001	0102094	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0502095	9302107	9150001	0102095	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502096	9302108	9150001	0102096	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0502097	9302109	9150001	0102097	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502098	9302110	9150001	0102098	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502099	9302111	9150001	0102099	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502100	9302112	9150001	0102100	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502201	9302113	9150001	0102201	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502202	9302114	9150001	0102202	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502203	9302115	9150001	0102203	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502204	9302116	9150001	0102204	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502205	9302117	9150001	0102205	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502206	9302118	9150001	0102206	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502207	9302119	9150001	0102207	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0502208	9302120	9150001	0102208	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502209	9302121	9150001	0102209	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502210	9302122	9150001	0102210	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502211	9302123	9150001	0102211	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502212	9302124	9150001	0102212	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502213	9302125	9150001	0102213	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502214	9302126	9150001	0102214	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502215	9302127	9150001	0102215	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502216	9302128	9150001	0102216	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502217	9302129	9150001	0102217	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502218	9302130	9150001	0102218	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502219	9302131	9150001	0102219	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502220	9302132	9150001	0102220	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502221	9302133	9150001	0102221	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502222	9302134	9150001	0102222	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502223	9302135	9150001	0102223	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502224	9302136	9150001	0102224	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502225	9302137	9150001	0102225	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502226	9302138	9150001	0102226	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502227	9302139	9150001	0102227	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502228	9302140	9150001	0102228	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502229	9302141	9150001	0102229	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502230	9302142	9150001	0102230	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502231	9302143	9150001	0102231	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502232	9302144	9150001	0102232	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502233	9302145	9150001	0102233	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502234	9302146	9150001	0102234	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502235	9302147	9150001	0102235	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502236	9302148	9150001	0102236	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502237	9302149	9150001	0102237	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502238	9302150	9150001	0102238	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502239	9302151	9150001	0102239	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502240	9302152	9150001	0102240	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502241	9302153	9150001	0102241	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502651	9302651	9150001	0102651	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502654	9302654	9150001	0102654	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502658	9302658	9150001	0102658	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502660	9302660	9150001	0102660	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502666	9302666	9150001	0102666	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502667	9302667	9150001	0102667	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0502668	9302668	9150001	0102668	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0501001	9301001	9150001	0101001	{"1":17500,"2":10,"3":100,"4":50}	175	100	1500	10	27000	30	35000	80	120000	160	0	drop
0501002	9301002	9150001	0101002	{"1":17500,"2":10,"3":100,"4":50}	175	100	1500	10	27000	30	35000	80	120000	160	0	drop
0501003	9301003	9150001	0101003	{"1":17500,"2":10,"3":100,"4":50}	175	100	1500	10	27000	30	35000	80	120000	160	0	drop
0501004	9301004	9150001	0101004	{"1":17500,"2":10,"3":100,"4":50}	175	100	1500	10	27000	30	35000	80	120000	160	0	drop
0501005	9301005	9150001	0101005	{"1":17500,"2":10,"3":100,"4":50}	175	100	1500	10	27000	30	35000	80	120000	160	0	drop
0501006	9301006	9150001	0101006	{"1":17500,"2":10,"3":100,"4":50}	175	100	1500	10	27000	30	35000	80	120000	160	0	drop
0501007	9301007	9150001	0101007	{"1":17500,"2":10,"3":100,"4":50}	175	100	1500	10	27000	30	35000	80	120000	160	0	none
0501008	9301008	9150001	0101008	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	pvp
0501009	9301009	9150001	0101009	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0501010	9301010	9150001	0101010	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0501011	9301011	9150001	0101011	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	pvp
0501012	9301012	9150001	0101012	{"1":7500,"2":2,"3":100,"4":50}	75	10	3000	10	27000	30	35000	80	120000	160	225000	pvp
0501013	9301013	9150001	0101013	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0501014	9301014	9150001	0101014	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	shop
0501015	9301015	9150001	0101015	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	shop
0501016	9301016	9150001	0101016	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	shop
0501017	9301017	9150001	0101017	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	vdraw
0501018	9301018	9150001	0101018	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	vdraw
0501019	9301019	9150001	0101019	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	vdraw
0501020	9301020	9150001	0101020	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	0	vdraw
0501021	9301021	9150001	0101021	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	gdraw
0501022	9301022	9150001	0101022	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	gdraw
0501023	9301023	9150001	0101023	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	gdraw
0501024	9301024	9150001	0101024	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0501025	9301025	9150001	0101025	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0501026	9301026	9150001	0101026	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0501027	9301027	9150001	0101027	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	
0501028	9301028	9150001	0101028	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0501029	9301029	9150001	0101029	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	
0501030	9301030	9150001	0101030	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0501031	9301031	9150001	0101031	{"1":50000,"2":60,"3":100,"4":50}	150	30	6000	30	27000	40	35000	100	120000	130	225000	none
0501032	9301032	9150001	0101032	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501033	9301033	9150001	0101033	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0501034	9301034	9150001	0101034	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501035	9301035	9150001	0101035	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501036	9301036	9150001	0101036	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501037	9301037	9150001	0101037	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501038	9301038	9150001	0101038	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501039	9301039	9150001	0101039	{"1":7500,"2":2,"3":100,"4":50}	75	10	6000	10	27000	30	35000	80	120000	160	225000	none
0501040	9301040	9150001	0101040	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501041	9301041	9150001	0101041	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0501042	9301042	9150001	0101042	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501043	9301043	9150001	0101043	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	none
0501044	9301044	9150001	0101044	{"1":7500,"2":2,"3":100,"4":50}	75	10	6000	10	27000	30	35000	80	120000	160	225000	none
0501045	9301045	9150001	0101045	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501046	9301046	9150001	0101046	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	none
0501047	9301047	9150001	0101047	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
