播放位置	類型	參數1	參數2	優先權	動作	表情	顯示類型	顯示時機	1100001	1100002	1100003	1100004	1100005	1100006	1100007	最低等級	最高等級
2	23	0	0	0	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":2,"1100002":2,"1100003":2,"1100004":2,"1100005":2,"1100006":2,"1100007":9,}	提示類	拳館=>閒置	{"1100001":9240094,"1100002":9241094,"1100003":9242094,"1100004":9243094,"1100005":9244094,"1100006":9245094,"1100007":9246094,}							0	90
2	23	0	0	0	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	{"1100001":8,"1100002":8,"1100003":8,"1100004":8,"1100005":8,"1100006":8,"1100007":9,}	提示類	拳館=>閒置	{"1100001":9240095,"1100002":9241095,"1100003":9242095,"1100004":9243095,"1100005":9244095,"1100006":9245095,"1100007":9246095,}							0	90
2	23	0	0	0	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	提示類	拳館=>閒置	{"1100001":9240096,"1100002":9241096,"1100003":9242096,"1100004":9243096,"1100005":9244096,"1100006":9245096,"1100007":9246096,}							0	90
2	23	0	0	0	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":8,"1100002":8,"1100003":8,"1100004":8,"1100005":8,"1100006":8,"1100007":5,}	提示類	拳館=>閒置	{"1100001":9240097,"1100002":9241097,"1100003":9242097,"1100004":9243097,"1100005":9244097,"1100006":9245097,"1100007":9246097,}							0	90
2	23	0	0	0	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":9,}	提示類	拳館=>閒置	{"1100001":9240098,"1100002":9241098,"1100003":9242098,"1100004":9243098,"1100005":9244098,"1100006":9245098,"1100007":9246098,}							0	90
1	24	0	0	0	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":2,"1100002":2,"1100003":2,"1100004":2,"1100005":2,"1100006":2,"1100007":5,}	提示類	大廳=>閒置	{"1100001":9240099,"1100002":9241099,"1100003":9242099,"1100004":9243099,"1100005":9244099,"1100006":9245099,"1100007":9246099,}							0	90
1	24	0	0	0	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":2,}	提示類	大廳=>閒置	{"1100001":9240100,"1100002":9241100,"1100003":9242100,"1100004":9243100,"1100005":9244100,"1100006":9245100,"1100007":9246100,}							0	90
1	24	0	0	0	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	提示類	大廳=>閒置	{"1100001":9240101,"1100002":9241101,"1100003":9242101,"1100004":9243101,"1100005":9244101,"1100006":9245101,"1100007":9246101,}							0	90
1	24	0	0	0	{"1100001":12,"1100002":12,"1100003":12,"1100004":12,"1100005":12,"1100006":12,"1100007":12,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":9,}	提示類	大廳=>閒置	{"1100001":9240102,"1100002":9241102,"1100003":9242102,"1100004":9243102,"1100005":9244102,"1100006":9245102,"1100007":9246102,}							0	90
1	24	0	0	0	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":5,}	提示類	大廳=>閒置	{"1100001":9240103,"1100002":9241103,"1100003":9242103,"1100004":9243103,"1100005":9244103,"1100006":9245103,"1100007":9246103,}							0	90
1	24	0	0	0	{"1100001":9,"1100002":9,"1100003":9,"1100004":9,"1100005":9,"1100006":9,"1100007":9,}	{"1100001":1,"1100002":1,"1100003":1,"1100004":1,"1100005":1,"1100006":1,"1100007":5,}	提示類	大廳=>閒置	{"1100001":9240104,"1100002":9241104,"1100003":9242104,"1100004":9243104,"1100005":9244104,"1100006":9245104,"1100007":9246104,}							0	90
1	24	0	0	0	{"1100001":2,"1100002":2,"1100003":2,"1100004":2,"1100005":2,"1100006":2,"1100007":2,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":2,}	提示類	大廳=>閒置	{"1100001":9240105,"1100002":9241105,"1100003":9242105,"1100004":9243105,"1100005":9244105,"1100006":9245105,"1100007":9246105,}							0	90
1	25	0	0	89	{"1100001":1,"1100002":1,"1100003":1,"1100004":1,"1100005":1,"1100006":1,"1100007":1,}	{"1100001":4,"1100002":4,"1100003":4,"1100004":4,"1100005":4,"1100006":4,"1100007":1,}	互動類	旋轉角色	{"1100001":9240106,"1100002":9241106,"1100003":9242106,"1100004":9243106,"1100005":9244106,"1100006":9245106,"1100007":9246106,}							0	90
1	25	0	0	89	{"1100001":1,"1100002":1,"1100003":1,"1100004":1,"1100005":1,"1100006":1,"1100007":1,}	{"1100001":4,"1100002":4,"1100003":4,"1100004":4,"1100005":4,"1100006":4,"1100007":5,}	互動類	旋轉角色	{"1100001":9240107,"1100002":9241107,"1100003":9242107,"1100004":9243107,"1100005":9244107,"1100006":9245107,"1100007":9246107,}							0	90
