專屬碼	名稱	lv1成長係數	lv2成長係數	lv3成長係數	lv4成長係數	lv5成長係數	回收價格	販賣價格	說明	裝備等級	套裝編號	ICON編號	MODEL編號	初始品質	初始屬性	隱藏	(舊)品質1插槽格式	(舊)品質2插槽格式	(舊)品質3插槽格式	(舊)品質4插槽格式	(舊)品質5插槽格式	(舊)品質6插槽格式	品質1插槽格式	品質2插槽格式	品質3插槽格式	品質4插槽格式	品質5插槽格式	品質6插槽格式	分類標籤	爆衣ID	出處	顯示稀有度	碎片轉換數	初始星數	附魔次數限制
0105014	9005014	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105014	0		UI_CH00S014	CH00S014	1	[0,0,0,39,26,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201019","0201019"]	["0201020","0201020","0201025","0201025","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201027","0201026","0201031","0201031"]	[]	[]	0		none	B	20	1	3
0105015	9005015	[1,1,1,1.5,1.5,1,1,1]	[1,1,1,3,3,1,1,1]	[1,1,1,5,5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9105015	0		UI_CH00S015	CH00S015	1	[0,0,0,57,40,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	[]	[]	[]	0		none	C	10	1	0
0105016	9005016	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105016	0		UI_CH00S016	CH00S016	1	[0,0,0,62,20,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201028","0201063","0201063","0201061"]	[]	0		vdraw	A	30	2	5
0105017	9005017	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105017	0		UI_CH00S017	CH00S017	1	[0,0,0,33,21,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	[]	[]	0		none	B	20	1	3
0105018	9005018	[1,1,1,1.5,1.5,1,1,1]	[1,1,1,3,3,1,1,1]	[1,1,1,5,5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9105018	0		UI_CH00S018	CH00S018	1	[0,0,0,35,20,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	[]	[]	[]	0		none	C	10	1	0
0105019	9005019	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105019	0	0601016	UI_CH00S019	CH00S019	1	[0,0,0,43,23,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201019","0201019"]	["0201020","0201020","0201025","0201025","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201027","0201026","0201061","0201061"]	["0201023","0201023","0201028","0201063","0201063","0201061"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		drop	S	40	2	10
0105051	9005020	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105020	0	0601001	UI_CH00S051	CH00S051	1	[0,0,0,53,31,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		none	S	40	2	10
0105052	9005021	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105021	0	0601002	UI_CH00S052	CH00S052	1	[0,0,0,48,32,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	[]	0		gdraw	A	30	2	5
0105053	9005022	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105022	0	0601003	UI_CH00S053	CH00S053	1	[0,0,0,50,30,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	[]	0		none	A	30	2	5
0105054	9005023	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105023	0	0601004	UI_CH00S054	CH00S054	1	[0,0,0,50,20,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	[]	0		drop	A	30	2	5
0105055	9005024	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105024	0	0601005	UI_CH00S055	CH00S055	1	[0,0,0,22,20,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	[]	[]	0		drop	B	20	1	3
0105056	9005025	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105025	0	0601006	UI_CH00S056	CH00S056	1	[0,0,0,35,32,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		vdraw	S	40	2	10
0105057	9005026	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105026	0	0601007	UI_CH00S057	CH00S057	1	[0,0,0,55,29,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	[]	0		vdraw	A	30	2	5
0105058	9005027	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105027	0	0601008	UI_CH00S058	CH00S058	1	[0,0,0,51,29,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	[]	0		drop	A	30	2	5
0105059	9005028	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105028	0	0601009	UI_CH00S059	CH00S059	1	[0,0,0,50,28,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		none	S	40	2	10
0105060	9005029	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105029	0	0601010	UI_CH00S060	CH00S060	1	[0,0,0,50,16,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	[]	0		drop	A	30	2	5
0105061	9005030	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105030	0	0601011	UI_CH00S061	CH00S061	1	[0,0,0,36,30,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		none	S	40	2	10
0105062	9005031	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105031	0	0601012	UI_CH00S062	CH00S062	1	[0,0,0,37,33,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		eshop	S	40	2	10
0105063	9005032	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105032	0		UI_CH00S063	CH00S063	1	[0,0,0,40,20,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		none	S	40	2	10
0105064	9005033	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105033	0	0601047	UI_CH00S064	CH00S064	1	[0,0,0,55,31,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	[]	0		none	A	30	2	5
0105065	9005034	[1,1,1,2,2,1,1,1]	[1,1,1,4,4,1,1,1]	[1,1,1,8,8,1,1,1]	[1,1,1,12,12,1,1,1]	[1,1,1,15,15,1,1,1]	240000	{"1":1200000,"2":3600,"3":6000,"4":3000}	9105034	0		UI_CH00S065	CH00S065	1	[0,0,0,58,22,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201022","0201027","0201027","0201025"]	["0201024","0201024","0201023","0201027","0201026","0201025"]	0		none	S	40	2	10
0105101	9005035	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105035	0	0601019	UI_CH00S101	CH00S101	1	[0,0,0,25,18,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	[]	[]	0		none	B	20	1	3
0105102	9005036	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105036	0	0601014	UI_CH00S102	CH00S102	1	[0,0,0,33,18,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201019","0201019"]	["0201020","0201020","0201025","0201025","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201027","0201026","0201061","0201061"]	["0201023","0201023","0201028","0201063","0201063","0201061"]	[]	0		none	A	30	2	5
0105103	9005037	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105037	0		UI_CH00S103	CH00S103	1	[0,0,0,44,21,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201019","0201019"]	["0201020","0201020","0201025","0201025","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201027","0201026","0201061","0201061"]	[]	[]	0		none	B	20	1	3
0105104	9005038	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105038	0	0601018	UI_CH00S104	CH00S104	1	[0,0,0,54,30,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201019","0201019"]	["0201020","0201020","0201025","0201025","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201027","0201026","0201037","0201037"]	[]	[]	0		none	B	20	1	3
0105105	9005039	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105039	0	0601017	UI_CH00S105	CH00S105	1	[0,0,0,52,28,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201019","0201019"]	["0201020","0201020","0201025","0201025","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201027","0201026","0201043","0201043"]	[]	[]	0		none	B	20	1	3
0105106	9005040	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105040	0		UI_CH00S106	CH00S106	1	[0,0,0,44,28,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	[]	[]	0		none	B	20	1	3
0105107	9005041	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105041	0		UI_CH00S107	CH00S107	1	[0,0,0,47,35,0,0,8]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	["0201023","0201023","0201034","0201033","0201033","0201019"]	[]	0		none	A	30	2	5
0105501	9005042	[1,1,1,1.5,1.5,1,1,1]	[1,1,1,3,3,1,1,1]	[1,1,1,5,5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9105042	0		UI_CH00S501	CH00S501	1	[0,0,0,34,30,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	[]	[]	[]	0		none	C	10	1	0
0105502	9005043	[1,1,1,1.5,1.5,1,1,1]	[1,1,1,3,3,1,1,1]	[1,1,1,5,5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9105043	0		UI_CH00S502	CH00S502	1	[0,0,0,35,25,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	[]	[]	[]	0	    	none	C	10	1	0
0105503	9005044	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105044	0	0601021	UI_CH00S503	CH00S503	1	[0,0,0,42,15,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	[]	[]	0		none	B	20	1	3
0105504	9005045	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105045	0		UI_CH00S504	CH00S504	1	[0,0,0,45,18,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	[]	[]	0		none	B	20	1	3
0105505	9005046	[1,1,1,1.8,1.8,1,1,1]	[1,1,1,3.5,3.5,1,1,1]	[1,1,1,5.5,5.5,1,1,1]	[1,1,1,7.5,7.5,1,1,1]	[1,1,1,10,10,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9105046	0		UI_CH00S505	CH00S505	1	[0,0,0,66,15,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201019","0201019","0201019","0201019","0201025","0201025"]	["0201020","0201020","0201019","0201019","0201025","0201025"]	["0201021","0201020","0201025","0201025","0201025","0201025"]	["0201022","0201022","0201021","0201026","0201025","0201025"]	[]	[]	0		none	B	20	1	3
