專屬碼	名稱	限制時間	拳館獲得經驗值	角色獲得經驗值	消耗行動力	失敗消耗行動力	次數限制	獎勵	NPC專屬碼	NPC_AI模式	NPC_難度	是否可重覆	獲得金幣倍率	賽場編號	賽場徽標	拳館等級需求	據點ICON	關卡敘述	NPC爬起次數 	讀秒區間1	讀秒區間2	圖紙	回合時間	勝利條件類型	勝利條件變數	爆衣機率	頭套ID
1006110	9013101	3	12	40	12	2	0	{"1000":{"0511013":{"base":3,"amount":2},"0506064":{"amount":6}}}	2001128	101	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113101	1	2	8	{}	0	0	0	0	
1006120	9013102	3	12	40	12	2	0	{"150":{"020208":{"amount":1}},"1000":{"0511008":{"base":5,"amount":3},"0511026":{"base":3,"amount":2},"0506073":{"amount":6}}}	2001034	95	4.00	1	1.81	outer_floor_d5	ring_floor_d5	40	stage06map_point_03	9113102	2	3	7	{}	0	0	0	100	0107001
1006130	9013103	3	12	40	12	2	0	{"1000":{"0511014":{"base":3,"amount":2},"0501001":{"amount":6}}}	2001129	102	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113103	1	2	8	{}	0	0	0	0	
1006140	9013104	3	12	40	12	2	0	{"1000":{"0511010":{"base":3,"amount":2},"0501002":{"amount":6}}}	2001130	102	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113104	1	2	8	{}	0	0	0	0	
1006150	9013105	3	12	40	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511020":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0501003":{"amount":6},"0501004":{"amount":6}}}	2001035	96	4.00	1	1.87	outer_floor_d5	ring_floor_d5	40	stage06map_point_04	9113105	2	3	7	{}	0	0	0	100	0107002
1006160	9013106	3	12	41	12	2	0	{"1000":{"0511019":{"base":3,"amount":2},"0501047":{"amount":6},"0501054":{"amount":6}}}	2001131	103	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113106	1	2	8	{}	0	0	0	0	
1006170	9013107	3	12	41	12	2	0	{"1000":{"0511002":{"base":3,"amount":2},"0501058":{"amount":6}}}	2001132	103	3.00	0	1.01	outer_floor_d5	ring_floor_d5	40		9113107	1	2	8	{}	0	0	0	0	
1006180	9013108	3	12	41	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511014":{"base":5,"amount":3},"0511002":{"base":3,"amount":2},"0501062":{"amount":6}}}	2001036	97	4.00	1	1.95	outer_floor_d5	ring_floor_d5	40	stage06map_point_01	9113108	2	3	7	{}	0	0	0	100	0107003
1007010	9013109	3	12	42	12	2	0	{"1000":{"0511003":{"base":1,"amount":0},"0501069":{"amount":6}}}	2001133	134	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113109	1	2	8	{}	0	0	0	0	
1007020	9013110	3	12	42	12	2	0	{"1000":{"0511028":{"base":1,"amount":0},"0501070":{"amount":6}}}	2001134	134	1.00	0	1.50	outer_floor_d	ring_floor_d	51		9113110	1	2	8	{}	0	0	0	0	
1007030	9013111	3	12	42	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511009":{"base":5,"amount":3},"0511021":{"base":3,"amount":2},"0501071":{"amount":6}}}	2001037	128	2.00	1	2.00	outer_floor_d	ring_floor_d	51	stage07map_point_01	9113111	2	3	7	{}	0	0	0	100	0107001
1007040	9013112	3	12	42	12	2	0	{"1000":{"0511008":{"base":1,"amount":0},"0502056":{"amount":6}}}	2001135	135	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113112	1	2	8	{}	0	0	0	0	
1007050	9013113	3	12	42	12	2	0	{"1000":{"0511022":{"base":1,"amount":0},"0502059":{"amount":6},"0502061":{"amount":6}}}	2001136	135	1.00	0	1.50	outer_floor_d	ring_floor_d	51		9113113	1	2	8	{}	0	0	0	0	
1007060	9013114	3	12	42	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511009":{"base":3,"amount":2},"0502062":{"amount":3}}}	2001038	129	2.00	1	2.05	outer_floor_d	ring_floor_d	51	stage07map_point_02	9113114	2	3	7	{}	0	0	0	100	0107002
1007070	9013115	3	12	43	12	2	0	{"1000":{"0511028":{"base":1,"amount":0},"0502089":{"amount":6}}}	2001137	136	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113115	1	2	8	{}	0	0	0	0	
1007080	9013116	3	12	43	12	2	0	{"1000":{"0511016":{"base":1,"amount":0},"0502090":{"amount":6}}}	2001138	136	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113116	1	2	8	{}	0	0	0	0	
1007090	9013117	3	12	43	12	2	0	{"150":{"0202009":{"amount":2}},"1000":{"0511027":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0502092":{"amount":6}}}	2001039	130	2.00	1	2.10	outer_floor_d	ring_floor_d	51	stage07map_point_03	9113117	2	3	7	{}	0	0	0	100	0107003
1007100	9013118	3	12	43	12	2	0	{"1000":{"0511028":{"base":1,"amount":0},"0502098":{"amount":3}}}	2001139	137	1.00	0	1.50	outer_floor_d	ring_floor_d	51		9113118	1	2	8	{}	0	0	0	0	
1007110	9013119	3	12	43	12	2	0	{"1000":{"0511010":{"base":1,"amount":0},"0502099":{"amount":6}}}	2001140	137	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113119	1	2	8	{}	0	0	0	0	
1007120	9013120	3	12	43	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511009":{"base":5,"amount":3},"0511027":{"base":3,"amount":2},"0502100":{"amount":3},"0502201":{"amount":6}}}	2001040	131	3.00	1	2.15	outer_floor_d	ring_floor_d	51	stage07map_point_04	9113120	2	3	7	{}	0	0	0	100	0107001
1007130	9013121	3	12	43	12	2	0	{"1000":{"0511015":{"base":1,"amount":0},"0502205":{"amount":3},"0502206":{"amount":3}}}	2001141	138	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113121	1	2	8	{}	0	0	0	0	
1007140	9013122	3	12	43	12	2	0	{"1000":{"0511002":{"base":1,"amount":0},"0502207":{"amount":3}}}	2001142	138	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113122	1	2	8	{}	0	0	0	0	
1007150	9013123	3	12	43	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0502208":{"amount":6}}}	2001041	132	2.00	1	2.20	outer_floor_d	ring_floor_d	51	stage07map_point_05	9113123	2	3	7	{}	0	0	0	100	0107002
1007160	9013124	3	12	44	12	2	0	{"1000":{"0511016":{"base":1,"amount":0},"0502213":{"amount":6}}}	2001143	139	2.00	0	1.50	outer_floor_d	ring_floor_d	51		9113124	1	2	8	{}	0	0	0	0	
1007170	9013125	3	12	44	12	2	0	{"1000":{"0511022":{"base":1,"amount":0},"0502214":{"amount":6}}}	2001144	139	1.00	0	1.50	outer_floor_d	ring_floor_d	51		9113125	1	2	8	{}	0	0	0	0	
1007180	9013126	3	12	44	12	2	0	{"150":{"0202009":{"amount":2}},"1000":{"0511003":{"base":5,"amount":3},"0511004":{"base":3,"amount":2},"0502215":{"amount":6}}}	2001042	133	1.50	1	2.25	outer_floor_d	ring_floor_d	51	stage07map_point_06	9113126	2	3	7	{}	0	0	0	100	0107003
1008010	9013127	3	16	45	16	4	0	{"1000":{"0511010":{"base":1,"amount":0},"0502238":{"amount":6}}}	2001145	152	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113127	1	2	8	{}	0	0	0	0	
1008020	9013128	3	16	45	16	4	0	{"1000":{"0511015":{"base":1,"amount":0},"0502239":{"amount":6},"0502658":{"amount":6}}}	2001146	152	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113128	1	2	8	{}	0	0	0	0	
1008030	9013129	3	16	45	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511009":{"base":5,"amount":3},"0511021":{"base":3,"amount":2},"0502666":{"amount":6}}}	2001043	146	1.50	1	2.30	outer_floor_d1	ring_floor_d1	62	stage08map_point_01	9113129	2	3	7	{}	0	0	0	100	0107001
1008040	9013130	3	16	45	16	4	0	{"1000":{"0511010":{"base":1,"amount":0},"0503056":{"amount":6}}}	2001147	153	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113130	1	2	8	{}	0	0	0	0	
1008050	9013131	3	16	45	16	4	0	{"1000":{"0511021":{"base":1,"amount":0},"0503059":{"amount":6}}}	2001148	153	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113131	1	2	8	{}	0	0	0	0	
1008060	9013132	3	16	45	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511009":{"base":3,"amount":2},"0503061":{"amount":6}}}	2001044	147	1.50	1	2.35	outer_floor_d1	ring_floor_d1	62	stage08map_point_05	9113132	2	3	7	{}	0	0	0	100	0107002
1008070	9013133	3	16	46	16	4	0	{"1000":{"0511015":{"base":1,"amount":0},"0503072":{"amount":6}}}	2001149	154	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113133	1	2	8	{}	0	0	0	0	
1008080	9013134	3	16	46	16	4	0	{"1000":{"0511008":{"base":1,"amount":0},"0503073":{"amount":6}}}	2001150	154	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113134	1	2	8	{}	0	0	0	0	
1008090	9013135	3	16	46	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511027":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0503074":{"amount":6},"0503076":{"amount":3}}}	2001045	148	2.00	1	2.40	outer_floor_d1	ring_floor_d1	62	stage08map_point_03	9113135	2	3	7	{}	0	0	0	100	0107003
1008100	9013136	3	16	46	16	4	0	{"1000":{"0511025":{"base":1,"amount":0},"0503081":{"amount":3},"0503082":{"amount":6}}}	2001151	155	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113136	1	2	8	{}	0	0	0	0	
1008110	9013137	3	16	46	16	4	0	{"1000":{"0511021":{"base":1,"amount":0},"0503083":{"amount":3}}}	2001152	155	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113137	1	2	8	{}	0	0	0	0	
1008120	9013138	3	16	46	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511009":{"base":5,"amount":3},"0511027":{"base":3,"amount":2},"0503084":{"amount":6}}}	2001046	149	1.50	1	2.45	outer_floor_d1	ring_floor_d1	62	stage08map_point_04	9113138	2	3	7	{}	0	0	0	100	0107001
1008130	9013139	3	16	46	16	4	0	{"1000":{"0511025":{"base":1,"amount":0},"0503089":{"amount":3}}}	2001153	156	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113139	1	2	8	{}	0	0	0	0	
1008140	9013140	3	16	46	16	4	0	{"1000":{"0511020":{"base":1,"amount":0},"0503090":{"amount":3}}}	2001154	156	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113140	1	2	8	{}	0	0	0	0	
1008150	9013141	3	16	46	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0503091":{"amount":6}}}	2001047	150	2.00	1	2.50	outer_floor_d1	ring_floor_d1	62	stage08map_point_05	9113141	2	3	7	{}	0	0	0	100	0107002
1008160	9013142	3	16	47	16	4	0	{"1000":{"0511008":{"base":1,"amount":0},"0503096":{"amount":6}}}	2001155	157	1.00	0	1.50	outer_floor_d1	ring_floor_d1	62		9113142	1	2	8	{}	0	0	0	0	
1008170	9013143	3	16	47	16	4	0	{"1000":{"0511020":{"base":1,"amount":0},"0503097":{"amount":6},"0503098":{"amount":6}}}	2001156	157	1.50	0	1.50	outer_floor_d1	ring_floor_d1	62		9113143	1	2	8	{}	0	0	0	0	
1008180	9013144	3	16	47	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511003":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0503104":{"amount":6}}}	2001048	151	2.00	1	2.60	outer_floor_d1	ring_floor_d1	62	stage08map_point_06	9113144	2	3	7	{}	0	0	0	100	0107003
1009010	9013145	3	16	48	16	4	0	{"1000":{"0511020":{"base":1,"amount":0},"0503109":{"amount":6}}}	2001157	170	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113145	1	2	8	{}	0	0	0	0	
1009020	9013146	3	16	48	16	4	0	{"1000":{"0511004":{"base":1,"amount":0},"0503658":{"amount":6}}}	2001158	170	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113146	1	2	8	{}	0	0	0	0	
1009030	9013147	3	16	48	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511003":{"base":3,"amount":2},"0503663":{"amount":6}}}	2001049	164	1.00	1	2.70	outer_floor_d2	ring_floor_d2	71	stage09map_point_01	9113147	2	3	7	{}	0	0	0	100	0107001
1009040	9013148	3	16	48	16	4	0	{"1000":{"0511016":{"base":1,"amount":0},"0505051":{"amount":3}}}	2001159	171	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113148	1	2	8	{}	0	0	0	0	
1009050	9013149	3	16	48	16	4	0	{"1000":{"0511020":{"base":1,"amount":0},"0505056":{"amount":6}}}	2001160	171	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113149	1	2	8	{}	0	0	0	0	
1009060	9013150	3	16	48	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511015":{"base":5,"amount":3},"0511009":{"base":3,"amount":2},"0505059":{"amount":6},"0505061":{"amount":6}}}	2001050	165	1.00	1	2.80	outer_floor_d2	ring_floor_d2	71	stage09map_point_02	9113150	2	3	7	{}	0	0	0	100	0107002
1009070	9013151	3	16	49	16	4	0	{"1000":{"0511010":{"base":1,"amount":0},"0505066":{"amount":6},"0505067":{"amount":6}}}	2001161	172	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113151	1	2	8	{}	0	0	0	0	
1009080	9013152	3	16	49	16	4	0	{"1000":{"0511016":{"base":1,"amount":0},"0505068":{"amount":6}}}	2001162	172	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113152	1	2	8	{}	0	0	0	0	
1009090	9013153	3	16	49	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511003":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0505070":{"amount":6}}}	2001051	166	1.00	1	2.90	outer_floor_d2	ring_floor_d2	71	stage09map_point_03	9113153	2	3	7	{}	0	0	0	100	0107003
1009100	9013154	3	16	49	16	4	0	{"1000":{"0511027":{"base":1,"amount":0},"0505079":{"amount":6}}}	2001163	173	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113154	1	2	8	{}	0	0	0	0	
1009110	9013155	3	16	49	16	4	0	{"1000":{"0511004":{"base":1,"amount":0},"0505081":{"amount":6}}}	2001164	173	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113155	1	2	8	{}	0	0	0	0	
1009120	9013156	3	16	49	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511003":{"base":5,"amount":3},"0511021":{"base":3,"amount":2},"0505082":{"amount":3},"0505083":{"amount":3}}}	2001052	167	1.00	1	3.00	outer_floor_d2	ring_floor_d2	71	stage09map_point_04	9113156	2	3	7	{}	0	0	0	100	0107001
1009130	9013157	3	16	49	16	4	0	{"1000":{"0511010":{"base":1,"amount":0},"0505087":{"amount":6}}}	2001165	174	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113157	1	2	8	{}	0	0	0	0	
1009140	9013158	3	16	49	16	4	0	{"1000":{"0511020":{"base":1,"amount":0},"0505088":{"amount":6},"0505089":{"amount":6}}}	2001166	174	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113158	1	2	8	{}	0	0	0	0	
1009150	9013159	3	16	49	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511027":{"base":3,"amount":2},"0505090":{"amount":3}}}	2001053	168	1.00	1	3.10	outer_floor_d2	ring_floor_d2	71	stage09map_point_05	9113159	2	3	7	{}	0	0	0	100	0107002
1009160	9013160	3	16	50	16	4	0	{"1000":{"0511004":{"base":1,"amount":0},"0505095":{"amount":6}}}	2001167	175	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113160	1	2	8	{}	0	0	0	0	
1009170	9013161	3	16	50	16	4	0	{"1000":{"0511027":{"base":1,"amount":0},"0505096":{"amount":6}}}	2001168	175	0.80	0	1.50	outer_floor_d2	ring_floor_d2	71		9113161	1	2	8	{}	0	0	0	0	
1009180	9013162	3	16	50	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511009":{"base":5,"amount":3},"0511003":{"base":3,"amount":2},"0505097":{"amount":6}}}	2001054	169	1.25	1	3.20	outer_floor_d2	ring_floor_d2	71	stage09map_point_06	9113162	2	3	7	{}	0	0	0	100	0107003
1010010	9013163	3	16	51	16	4	0	{"1000":{"0511016":{"base":1,"amount":0},"0505205":{"amount":6}}}	2001169	188	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113163	1	2	8	{}	0	0	0	0	
1010020	9013164	3	16	51	16	4	0	{"1000":{"0511028":{"base":1,"amount":0},"0505206":{"amount":6},"0505207":{"amount":6}}}	2001170	188	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113164	1	2	8	{}	0	0	0	0	
1010030	9013165	3	16	51	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511003":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0505208":{"amount":6}}}	2001055	182	1.00	1	3.30	outer_floor_d3	ring_floor_d3	81	stage10map_point_01	9113165	2	3	7	{}	0	0	0	100	0107001
1010040	9013166	3	16	51	16	4	0	{"1000":{"0511010":{"base":1,"amount":0},"0506051":{"amount":3},"0506056":{"amount":6}}}	2001171	189	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113166	1	2	8	{}	0	0	0	0	
1010050	9013167	3	16	51	16	4	0	{"1000":{"0511022":{"base":1,"amount":0},"0506059":{"amount":6}}}	2001172	189	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113167	1	2	8	{}	0	0	0	0	
1010060	9013168	3	16	51	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511009":{"base":5,"amount":3},"0511021":{"base":3,"amount":2},"0506061":{"amount":6}}}	2001056	183	1.00	1	3.40	outer_floor_d3	ring_floor_d3	81	stage10map_point_02	9113168	2	3	7	{}	0	0	0	100	0107002
1010070	9013169	3	16	52	16	4	0	{"1000":{"0511028":{"base":1,"amount":0},"0506068":{"amount":6}}}	2001173	190	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113169	1	2	8	{}	0	0	0	0	
1010080	9013170	3	16	52	16	4	0	{"1000":{"0511016":{"base":1,"amount":0},"0506069":{"amount":6}}}	2001174	190	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113170	1	2	8	{}	0	0	0	0	
1010090	9013171	3	16	52	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511015":{"base":5,"amount":3},"0511003":{"base":3,"amount":2},"0506072":{"amount":6},"0506075":{"amount":6}}}	2001057	184	1.00	1	3.50	outer_floor_d3	ring_floor_d3	81	stage10map_point_03	9113171	2	3	7	{}	0	0	0	100	0107003
1010100	9013172	3	16	52	16	4	0	{"1000":{"0511010":{"base":1,"amount":0},"0506080":{"amount":6},"0506081":{"amount":3}}}	2001175	191	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113172	1	2	8	{}	0	0	0	0	
1010110	9013173	3	16	52	16	4	0	{"1000":{"0511022":{"base":1,"amount":0},"0506082":{"amount":3}}}	2001176	191	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113173	1	2	8	{}	0	0	0	0	
1010120	9013174	3	16	52	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0506083":{"amount":6}}}	2001058	185	1.00	1	3.60	outer_floor_d3	ring_floor_d3	81	stage10map_point_04	9113174	2	3	7	{}	0	0	0	100	0107001
1010130	9013175	3	16	52	16	4	0	{"1000":{"0511004":{"base":1,"amount":0},"0506088":{"amount":3}}}	2001177	192	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113175	1	2	8	{}	0	0	0	0	
1010140	9013176	3	16	52	16	4	0	{"1000":{"0511028":{"base":1,"amount":0},"0506089":{"amount":3}}}	2001178	192	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113176	1	2	8	{}	0	0	0	0	
1010150	9013177	3	16	52	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511021":{"base":5,"amount":3},"0511027":{"base":3,"amount":2},"0506090":{"amount":6}}}	2001059	186	1.00	1	3.70	outer_floor_d3	ring_floor_d3	81	stage10map_point_05	9113177	2	3	7	{}	0	0	0	100	0107002
1010160	9013178	3	16	53	16	4	0	{"1000":{"0511002":{"base":1,"amount":0},"0506098":{"amount":6}}}	2001179	193	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113178	1	2	8	{}	0	0	0	0	
1010170	9013179	3	16	53	16	4	0	{"1000":{"0511004":{"base":1,"amount":0},"0506099":{"amount":6},"0506100":{"amount":6}}}	2001180	193	0.80	0	1.50	outer_floor_d3	ring_floor_d3	81		9113179	1	2	8	{}	0	0	0	0	
1010180	9013180	3	16	53	16	4	0	{"150":{"0202009":{"amount":1}},"1000":{"0511003":{"base":5,"amount":3},"0511015":{"base":3,"amount":2},"0506101":{"amount":6}}}	2001060	187	1.25	1	3.80	outer_floor_d3	ring_floor_d3	81	stage10map_point_06	9113180	2	3	7	{}	0	0	0	100	0107003
1011010	9013180	3	12	32	12	2	3	{"1000":{"0503003":{"base":1,"amount":2},"0511001":{"base":5,"amount":3},"0511007":{"base":3,"amount":2},"0502501":{"amount":1}}}	2001001	14	2.00	1	1.30	outer_floor_d	ring_floor_d	0	stage01map_point_01	9113180	0	0	0	{}	0	0	0	0	0107001
1001031	9013003	3	12	32	12	2	0	{"1000":{"0511001":{"base":1,"amount":2},"0511008":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0503002":{"amount":1}}}	2001001	14	2.00	1	1.30	outer_floor_d	ring_floor_d	0	stage01map_point_01	9113003	0	0	0	{}	0	0	0	60	
1001032	9013003	3	12	32	12	2	0	{"1000":{"0511002":{"base":1,"amount":2},"0511001":{"base":5,"amount":3},"0511008":{"base":3,"amount":3},"0503003":{"amount":1},"0503004":{"amount":1}}}	2001001	14	2.00	1	1.30	outer_floor_d	ring_floor_d	0	stage01map_point_01	9113003	0	0	0	{}	0	0	0	30	
1001033	9013003	3	12	32	12	2	0	{"150":{"0503003":{"amount":5}},"1000":{"0511002":{"base":1,"amount":2},"0511001":{"base":5,"amount":3},"0511008":{"base":3,"amount":3},"0503005":{"amount":1}}}	2001001	14	2.00	1	1.30	outer_floor_d	ring_floor_d	0	stage01map_point_01	9113003	0	0	0	{}	0	0	0	10	
1001061	9013006	3	12	32	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511002":{"base":5,"amount":3},"0511007":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0501017":{"amount":1}}}	2001002	15	2.50	1	1.31	outer_floor_d	ring_floor_d	0	stage01map_point_02	9113006	0	0	0	{}	0	0	0	60	
1001062	9013006	3	12	32	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511020":{"base":1,"amount":2},"0511007":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0501022":{"amount":1}}}	2001002	15	2.50	1	1.31	outer_floor_d	ring_floor_d	0	stage01map_point_02	9113006	0	0	0	{}	0	0	0	30	
1001063	9013006	3	12	32	12	2	0	{"150":{"0202009":{"amount":1},"0502020":{"amount":5}},"1000":{"0511020":{"base":1,"amount":2},"0511007":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0501026":{"amount":1}}}	2001002	15	2.50	1	1.31	outer_floor_d	ring_floor_d	0	stage01map_point_02	9113006	0	0	0	{}	0	0	0	10	
1001091	9013009	3	12	32	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0505002":{"base":1,"amount":2},"0511026":{"base":5,"amount":3},"0511013":{"base":3,"amount":2},"0501036":{"amount":1}}}	2001003	16	3.00	1	1.32	outer_floor_d	ring_floor_d	0	stage01map_point_03	9113009	0	0	0	{}	0	0	0	60	
1001092	9013009	3	12	32	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511002":{"base":1,"amount":2},"0511026":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0501038":{"amount":1}}}	2001003	16	3.00	1	1.32	outer_floor_d	ring_floor_d	0	stage01map_point_03	9113009	0	0	0	{}	0	0	0	30	
1001093	9013009	3	12	32	12	2	0	{"150":{"0202009":{"amount":1},"0505002":{"amount":5}},"1000":{"0511002":{"base":1,"amount":2},"0511026":{"base":5,"amount":3},"0511014":{"base":3,"amount":2},"0501039":{"amount":1},"0501040":{"amount":1}}}	2001003	16	3.00	1	1.32	outer_floor_d	ring_floor_d	0	stage01map_point_03	9113009	0	0	0	{}	0	0	0	10	
1001121	9013012	3	12	35	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0501006":{"base":1,"amount":2},"0511019":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0502005":{"amount":1},"0502007":{"amount":1}}}	2001004	17	2.00	1	1.33	outer_floor_d	ring_floor_d	0	stage01map_point_04	9113012	1	4	8	{}	0	0	0	60	
1001122	9013012	3	12	35	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511008":{"base":1,"amount":2},"0511019":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0502011":{"amount":1}}}	2001004	17	2.00	1	1.33	outer_floor_d	ring_floor_d	0	stage01map_point_04	9113012	1	4	8	{}	0	0	0	30	
1001123	9013012	3	12	35	12	2	0	{"150":{"0202009":{"amount":1},"0505002":{"amount":5}},"1000":{"0511008":{"base":1,"amount":2},"0511019":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0502012":{"amount":1}}}	2001004	17	2.00	1	1.33	outer_floor_d	ring_floor_d	0	stage01map_point_04	9113012	1	4	8	{}	0	0	0	10	
1001151	9013015	3	12	35	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511002":{"base":5,"amount":3},"0511013":{"base":5,"amount":3},"0511026":{"base":3,"amount":2},"0502020":{"amount":1}}}	2001005	18	2.00	1	1.35	outer_floor_d	ring_floor_d	0	stage01map_point_05	9113015	1	4	8	{}	0	0	0	60	
1001152	9013015	3	12	35	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511001":{"base":1,"amount":2},"0511014":{"base":5,"amount":3},"0511026":{"base":3,"amount":2},"0502024":{"amount":3}}}	2001005	18	2.00	1	1.35	outer_floor_d	ring_floor_d	0	stage01map_point_05	9113015	1	4	8	{}	0	0	0	30	
1001153	9013015	3	12	35	12	2	0	{"150":{"0202009":{"amount":1},"0503003":{"amount":5}},"1000":{"0511001":{"base":1,"amount":2},"0511014":{"base":5,"amount":3},"0511026":{"base":3,"amount":2},"0502035":{"amount":1},"0502040":{"amount":1}}}	2001005	18	2.00	1	1.35	outer_floor_d	ring_floor_d	0	stage01map_point_05	9113015	1	4	8	{}	0	0	0	10	
1001181	9013018	3	12	35	12	2	0	{"150":{"0202009":{"amount":1}},"1000":{"0511001":{"base":5,"amount":3},"0511026":{"base":5,"amount":3},"0511020":{"base":3,"amount":2},"0502103":{"amount":1}}}	2001006	19	3.00	1	1.38	outer_floor_d	ring_floor_d	0	stage01map_point_06	9113018	1	4	8	{}	0	0	0	60	
