專屬碼	名稱	屬性	臉	皮膚	胸部	裝備	技能1	技能2	音效包	被動技能	頭像	頭像框	弱點加成	弱點	弱點角色	弱點技能
2001085	9020078	{"1":56,"2":33,"3":34,"4":66,"5":55,"6":80,"7":100,"8":100,"11":1.1,"12":1.1,"13":1.1,"22":3000}	2201003	2202001	2203002	["0101042","0102014","0103009","","0105009",""]	{"id":"0301012","damage":5,"success":0,"time":25,"rage":25,"blood":25}	{}	1100902					[]	[]	[]
2001086	9020079	{"1":61,"2":32,"3":30,"4":48,"5":48,"6":60,"7":120,"8":120,"11":1.1,"12":1.1,"13":1.1,"22":3000}	2201004	2202003	2203001	["0101044","0102034","0103008","","0105008",""]	{"id":"0301012","damage":15,"success":0,"time":25,"rage":25,"blood":25}	{}	1100906					[]	[]	[]
2001087	9020080	{"1":41,"2":31,"3":37,"4":42,"5":66,"6":100,"7":80,"8":100,"11":1.1,"12":1.1,"13":1.1}	2201009	2202002	2203001	["0101046","0102058","0103058","","0105058",""]	{"id":"0301008","damage":5,"success":0,"time":200,"rage":1,"blood":1}	{}	1100901					[]	[]	[]
2001088	9020081	{"1":43,"2":28,"3":32,"4":50,"5":57,"6":110,"7":60,"8":110,"11":1.1,"12":1.1,"13":1.1}	2201001	2202003	2203003	["0101024","0102028","0103002","","0105006",""]	{"id":"0301008","damage":15,"success":0,"time":200,"rage":1,"blood":1}	{}	1100905					[]	[]	[]
2001089	9020082	{"1":51,"2":34,"3":24,"4":38,"5":50,"6":200,"7":80,"8":60,"11":1.1,"12":1.2,"13":0.8,"24":150}	2201009	2202003	2203002	["0101019","0102011","0103008","","0105013",""]	{}	{}	1100907					[]	[]	[]
2001090	9020083	{"1":46,"2":26,"3":27,"4":46,"5":60,"6":280,"7":60,"8":30,"11":1.1,"12":1.3,"13":0.8,"24":300}	2201008	2202001	2203001	["0101028","0102033","0103006","","0105006",""]	{"id":"0301008","damage":50,"success":0,"time":25,"rage":25,"blood":25}	{}	1100903					[]	[]	[]
2001091	9020084	{"1":42,"2":26,"3":37,"4":60,"5":33,"6":120,"7":80,"8":120,"11":1.1,"12":1.1,"13":1.1}	2201010	2202002	2203001	["0101025","0102034","0103002","","0105002",""]	{}	{}	1100906					[]	[]	[]
2001092	9020085	{"1":55,"2":22,"3":28,"4":42,"5":28,"6":130,"7":60,"8":130,"11":1.1,"12":1.1,"13":1.1}	2201002	2202001	2203002	["0101015","0102053","0103002","","0105053",""]	{}	{}	1100905					[]	[]	[]
2001093	9020086	{"1":57,"2":23,"3":33,"4":62,"5":53,"6":80,"7":200,"8":100,"11":1.1,"12":1.2,"13":1.1}	2201007	2202002	2203002	["0101037","0102057","0103061","","0105061",""]	{"id":"0301012","damage":25,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305001","damage":8,"success":8,"time":8,"rage":0,"blood":8}	1100904					[]	[]	[]
2001094	9020087	{"1":50,"2":24,"3":37,"4":52,"5":51,"6":60,"7":280,"8":100,"11":1.1,"12":1.3,"13":1.1}	2201003	2202001	2203001	["0101032","0102025","0103009","","0105006",""]	{}	{}	1100901					[]	[]	[]
2001095	9020088	{"1":62,"2":25,"3":33,"4":54,"5":23,"6":80,"7":180,"8":200,"11":1.1,"12":1.1,"13":1.1}	2201006	2202001	2203003	["0101013","0102041","0103003","","0105004",""]	{"id":"0301004","damage":1,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0301008","damage":10,"success":0,"time":25,"rage":25,"blood":25}	1100902					[]	[]	[]
2001096	9020089	{"1":46,"2":30,"3":34,"4":58,"5":40,"6":60,"7":200,"8":280,"11":1.1,"12":1.1,"13":1.1}	2201008	2202002	2203001	["0101008","0102016","0103004","","0105004",""]	{"id":"0301004","damage":15,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0301008","damage":15,"success":0,"time":25,"rage":25,"blood":25}	1100903					[]	[]	[]
2001097	9020090	{"1":53,"2":66,"3":44,"4":42,"5":75,"6":80,"7":200,"8":280,"11":1.1,"12":1.1,"13":1.2}	2201008	2202001	2203002	["0101036","0102047","0103009","","0105060","0106053"]	{"id":"0301001","damage":25,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305002","damage":25,"success":25,"time":25,"rage":0,"blood":25}	1100905					[]	[]	[]
2001098	9020091	{"1":44,"2":77,"3":38,"4":60,"5":60,"6":60,"7":280,"8":300,"11":1.1,"12":1.1,"13":1.2}	2201008	2202001	2203003	["0101037","0102057","0103022","","0105053","0106058"]	{"id":"0301001","damage":25,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305002","damage":25,"success":25,"time":25,"rage":0,"blood":25}	1100906					[]	[]	[]
2001099	9020092	{"1":47,"2":67,"3":44,"4":48,"5":60,"6":80,"7":80,"8":80,"11":1.1,"12":1.1,"13":1.1,"24":100}	2201010	2202001	2203004	["0101038","0102042","0103060","","0105054","0106054"]	{"id":"0301005","damage":1,"success":0,"time":25,"rage":25,"blood":25}	{}	1100907					[]	[]	[]
2001100	9020093	{"1":44,"2":78,"3":67,"4":52,"5":69,"6":60,"7":60,"8":60,"11":1.1,"12":1.1,"13":1.1,"24":150}	2201008	2202001	2203001	["0101039","0102060","0103058","","0105058",""]	{"id":"0301005","damage":1,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305005","damage":25,"success":25,"time":25,"rage":0,"blood":25}	1100902					[]	[]	[]
2001101	9020094	{"1":42,"2":66,"3":45,"4":48,"5":83,"6":150,"7":100,"8":80,"11":1.2,"12":1.1,"13":1.1}	2201008	2202001	2203001	["0101040","0102056","0103056","","0105056","0106056"]	{"id":"0301009","damage":15,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305002","damage":15,"success":25,"time":25,"rage":0,"blood":25}	1100901					[]	[]	[]
2001102	9020095	{"1":40,"2":80,"3":46,"4":46,"5":99,"6":250,"7":120,"8":60,"11":1.2,"12":1.1,"13":1.1}	2201009	2202001	2203002	["0101041","0102018","0103059","","0105013","0106064"]	{"id":"0301009","damage":25,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305002","damage":25,"success":25,"time":25,"rage":0,"blood":25}	1100904					[]	[]	[]
2001103	9020096	{"1":39,"2":82,"3":53,"4":50,"5":80,"6":150,"7":100,"8":80,"11":1.1,"12":1.1,"13":1.1}	2201008	2202001	2203001	["0101042","0102050","0103062","","0105003",""]	{"id":"0301010","damage":10,"success":0,"time":1,"rage":1,"blood":1}	{}	1100906					[]	[]	[]
2001104	9020097	{"1":44,"2":72,"3":65,"4":54,"5":72,"6":250,"7":120,"8":60,"11":1.1,"12":1.1,"13":1.1}	2201010	2202001	2203001	["0101043","0102041","0103004","","0105004",""]	{"id":"0301010","damage":20,"success":0,"time":1,"rage":1,"blood":1}	{}	1100905					[]	[]	[]
2001105	9020098	{"1":43,"2":74,"3":55,"4":44,"5":92,"6":110,"7":110,"8":80,"11":1.1,"12":1.1,"13":1.1}	2201008	2202001	2203002	["0101044","0102054","0103057","","0105054",""]	{"id":"0301005","damage":5,"success":0,"time":40,"rage":40,"blood":40}	{}	1100904					[]	[]	[]
2001106	9020099	{"1":54,"2":73,"3":51,"4":42,"5":93,"6":120,"7":120,"8":60,"11":1.1,"12":1.1,"13":1.1}	2201008	2202002	2203003	["0101045","0102029","0103015","","0105051","0106002"]	{"id":"0301005","damage":15,"success":0,"time":40,"rage":40,"blood":40}	{}	1100902					[]	[]	[]
2001107	9020100	{"1":51,"2":69,"3":57,"4":66,"5":80,"6":180,"7":180,"8":80,"11":1.2,"12":1.2,"13":1.2}	2201008	2202003	2203004	["0101046","0102038","0103061","","0105053",""]	{"id":"0301006","damage":40,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305006","damage":15,"success":40,"time":40,"rage":0,"blood":40}	1100903	0302011				[]	[]	[]
2001108	9020101	{"1":44,"2":88,"3":49,"4":84,"5":99,"6":200,"7":200,"8":60,"11":1.2,"12":1.2,"13":1.2}	2201008	2202004	2203001	["0101047","0102035","0103055","","0105055","0106055"]	{"id":"0301008","damage":30,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305006","damage":20,"success":40,"time":40,"rage":0,"blood":40}	1100905	0302011				[]	[]	[]
2001109	9020102	{"1":60,"2":90,"3":100,"4":100,"5":94,"6":60,"7":200,"8":250,"11":1.1,"12":1.1,"13":1.1}	2201009	2202005	2203001	["0101024","0102064","0103055","","0105063","0106052"]	{"id":"0301012","damage":15,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305004","damage":15,"success":40,"time":40,"rage":0,"blood":40}	1100902					[]	[]	[]
2001110	9020103	{"1":56,"2":92,"3":120,"4":110,"5":102,"6":40,"7":250,"8":300,"11":1.1,"12":1.1,"13":1.1}	2201008	2202001	2203002	["0101022","0102007","0103009","","0105003",""]	{"id":"0301012","damage":30,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305004","damage":25,"success":40,"time":40,"rage":0,"blood":40}	1100906					[]	[]	[]
2001111	9020104	{"1":80,"2":97,"3":136,"4":106,"5":106,"6":60,"7":60,"8":60,"11":1.2,"12":1.2,"13":1.2,"24":300}	2201010	2202001	2203003	["0101015","0102032","0103021","","0105509","0106063"]	{"id":"0301006","damage":200,"success":0,"time":100,"rage":0,"blood":40}	{"id":"0301013","damage":150,"success":0,"time":200,"rage":0,"blood":80}	1100907					[]	[]	[]
2001112	9020105	{"1":76,"2":86,"3":130,"4":104,"5":110,"6":30,"7":30,"8":30,"11":1.2,"12":1.2,"13":1.2,"24":500}	2201009	2202001	2203004	["0101017","0102011","0103020","","0105054","0106064"]	{"id":"0301006","damage":200,"success":0,"time":100,"rage":0,"blood":40}	{"id":"0301013","damage":150,"success":0,"time":200,"rage":0,"blood":80}	1100902					[]	[]	[]
2001113	9020106	{"1":70,"2":91,"3":140,"4":90,"5":90,"6":60,"7":150,"8":150,"11":1.1,"12":1.1,"13":1.4}	2201008	2202001	2203001	["0101024","0102049","0103002","","0105059",""]	{"id":"0305003","damage":40,"success":40,"time":40,"rage":0,"blood":40}	{}	1100906					[]	[]	[]
2001114	9020107	{"1":74,"2":88,"3":136,"4":96,"5":88,"6":40,"7":200,"8":200,"11":1.1,"12":1.1,"13":1.4}	2201010	2202001	2203001	["0101025","0102047","0103052","","0105010",""]	{"id":"0305003","damage":40,"success":40,"time":40,"rage":0,"blood":40}	{}	1100905					[]	[]	[]
2001115	9020108	{"1":80,"2":100,"3":140,"4":100,"5":102,"6":200,"7":100,"8":100,"11":1.1,"12":1.1,"13":1.1,"22":5000}	2201008	2202004	2203002	["0101016","0102025","0103060","","0105008",""]	{}	{}	1100906					[]	[]	[]
2001116	9020109	{"1":84,"2":94,"3":144,"4":83,"5":106,"6":280,"7":100,"8":100,"11":1.1,"12":1.1,"13":1.1,"22":10000}	2201008	2202001	2203003	["0101026","0102051","0103506","","0105060","0106061"]	{"id":"0301006","damage":40,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305009","damage":40,"success":40,"time":40,"rage":0,"blood":40}	1100902					[]	[]	[]
2001117	9020110	{"1":82,"2":104,"3":154,"4":102,"5":100,"6":80,"7":150,"8":80,"11":1.1,"12":1.1,"13":1.1,"21":800}	2201008	2202001	2203004	["0101014","0102061","0103014","","0105059",""]	{"id":"0305002","damage":15,"success":40,"time":40,"rage":0,"blood":40}	{}	1100904					[]	[]	[]
2001118	9020111	{"1":88,"2":100,"3":150,"4":112,"5":116,"6":60,"7":250,"8":60,"11":1.1,"12":1.1,"13":1.1,"21":800}	2201008	2202002	2203001	["0101011","0102050","0103002","","0105056","0106056"]	{"id":"0305002","damage":30,"success":40,"time":40,"rage":0,"blood":40}	{}	1100901					[]	[]	[]
2001119	9020112	{"1":88,"2":110,"3":160,"4":100,"5":124,"6":80,"7":150,"8":150,"11":1.1,"12":1.1,"13":1.1}	2201009	2202003	2203001	["0101012","0102017","0103011","","0105054",""]	{"id":"0301009","damage":25,"success":0,"time":60,"rage":60,"blood":60}	{"id":"0305001","damage":25,"success":40,"time":40,"rage":0,"blood":100}	1100907					[]	[]	[]
2001120	9020113	{"1":96,"2":106,"3":146,"4":108,"5":120,"6":60,"7":200,"8":200,"11":1.1,"12":1.1,"13":1.1}	2201008	2202004	2203002	["0101020","0102037","0103064","","0105004",""]	{"id":"0301009","damage":35,"success":0,"time":60,"rage":60,"blood":60}	{"id":"0305001","damage":35,"success":40,"time":40,"rage":0,"blood":100}	1100907					[]	[]	[]
2001121	9020114	{"1":121,"2":110,"3":87,"4":80,"5":85,"6":150,"7":80,"8":100,"11":1.2,"12":1.2,"13":0.8}	2201010	2202005	2203003	["0101036","0102051","0103051","","0105051","0106051"]	{"id":"0301012","damage":25,"success":0,"time":100,"rage":100,"blood":100}	{"id":"0305003","damage":25,"success":40,"time":40,"rage":0,"blood":50}	1100902					[]	[]	[]
2001122	9020115	{"1":105,"2":102,"3":93,"4":77,"5":95,"6":200,"7":50,"8":120,"11":1.3,"12":1.3,"13":0.8}	2201008	2202001	2203004	["0101037","0102061","0103063","","0105014",""]	{"id":"0301012","damage":35,"success":0,"time":100,"rage":100,"blood":100}	{"id":"0305003","damage":35,"success":40,"time":40,"rage":0,"blood":50}	1100902					[]	[]	[]
2001123	9020116	{"1":120,"2":113,"3":100,"4":78,"5":97,"6":60,"7":60,"8":60,"11":1.1,"12":1.1,"13":1.1,"24":500}	2201010	2202001	2203001	["0101038","0102502","0103012","","0105059",""]	{"id":"0301004","damage":25,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0305005","damage":25,"success":40,"time":40,"rage":0,"blood":40}	1100902					[]	[]	[]
2001124	9020117	{"1":132,"2":120,"3":115,"4":90,"5":93,"6":40,"7":40,"8":40,"11":1.1,"12":1.1,"13":1.1,"24":800}	2201008	2202001	2203001	["0101039","0102045","0103008","","0105057",""]	{"id":"0301004","damage":35,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0305005","damage":35,"success":40,"time":40,"rage":0,"blood":40}	1100902					[]	[]	[]
2001125	9020118	{"1":121,"2":105,"3":104,"4":102,"5":90,"6":150,"7":100,"8":150,"11":1.3,"12":1.1,"13":1.1}	2201008	2202004	2203002	["0101040","0102072","0103056","","0105054","0106001"]	{"id":"0301012","damage":25,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0301006","damage":200,"success":0,"time":100,"rage":0,"blood":40}	1100906					[]	[]	[]
2001126	9020119	{"1":138,"2":117,"3":100,"4":97,"5":92,"6":200,"7":80,"8":200,"11":1.3,"12":1.1,"13":1.1}	2201009	2202001	2203003	["0101042","0102057","0103057","","0105057","0106057"]	{"id":"0301012","damage":30,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0301006","damage":200,"success":0,"time":100,"rage":0,"blood":40}	1100906					[]	[]	[]
2001127	9020120	{"1":132,"2":110,"3":92,"4":108,"5":83,"6":150,"7":150,"8":60,"11":1.1,"12":1.1,"13":1.1}	2201008	2202003	2203004	["0101041","0102040","0103054","","0105060","0106059"]	{"id":"0301011","damage":100,"success":0,"time":70,"rage":100,"blood":1}	{"id":"0305007","damage":1,"success":40,"time":100,"rage":200,"blood":0}	1100903					[]	[]	[]
2001128	9020121	{"1":140,"2":121,"3":98,"4":110,"5":88,"6":200,"7":200,"8":40,"11":1.1,"12":1.1,"13":1.1}	2201010	2202001	2203001	["0101043","0102066","0103014","","0105012",""]	{"id":"0301011","damage":150,"success":0,"time":70,"rage":100,"blood":1}	{"id":"0305007","damage":1,"success":40,"time":100,"rage":200,"blood":0}	1100903					[]	[]	[]
2001129	9020122	{"1":120,"2":110,"3":92,"4":97,"5":96,"6":100,"7":80,"8":100,"11":1.1,"12":1.1,"13":1.1,"21":800}	2201008	2202001	2203001	["0101044","0102051","0103061","","0105059","0106051"]	{"id":"0301002","damage":25,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0305009","damage":15,"success":40,"time":40,"rage":0,"blood":40}	1100907					[]	[]	[]
2001130	9020123	{"1":140,"2":121,"3":98,"4":95,"5":90,"6":120,"7":60,"8":120,"11":1.1,"12":1.1,"13":1.1,"21":800}	2201009	2202001	2203002	["0101045","0102025","0103012","","0105058","0106058"]	{"id":"0301002","damage":35,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0305009","damage":20,"success":40,"time":40,"rage":0,"blood":40}	1100907					[]	[]	[]
2001131	9020124	{"1":120,"2":110,"3":92,"4":99,"5":95,"6":150,"7":80,"8":150,"11":1.2,"12":1.2,"13":1.2,"22":1000}	2201008	2202001	2203003	["0101046","0102042","0103055","","0105055","0106001"]	{"id":"0301003","damage":200,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0301008","damage":25,"success":0,"time":1,"rage":1,"blood":1}	1100906					[]	[]	[]
2001132	9020125	{"1":140,"2":121,"3":98,"4":85,"5":99,"6":200,"7":60,"8":200,"11":1.2,"12":1.2,"13":1.2,"22":2000}	2201010	2202002	2203001	["0101047","0102026","0103001","","0105001",""]	{"id":"0301003","damage":200,"success":0,"time":40,"rage":40,"blood":70}	{"id":"0301008","damage":50,"success":0,"time":1,"rage":1,"blood":1}	1100906					[]	[]	[]
2001133	9020126	{"1":220,"2":280,"3":176,"4":240,"5":196,"6":30,"7":200,"8":30,"11":1.2,"12":1.2,"13":1.2,"24":300}	2201008	2202001	2203002	["0101026","0102052","0103054","","0105052",""]	{"id":"0301008","damage":30,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305006","damage":30,"success":70,"time":70,"rage":0,"blood":70}	1100906					[]	[]	[]
2001134	9020127	{"1":172,"2":308,"3":224,"4":216,"5":240,"6":40,"7":280,"8":40,"11":1.2,"12":1.2,"13":1.2,"24":800}	2201008	2202001	2203003	["0101012","0102019","0103056","","0105054","0106001"]	{"id":"0301008","damage":50,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305006","damage":50,"success":70,"time":70,"rage":0,"blood":70}	1100906					[]	[]	[]
2001135	9020128	{"1":96,"2":300,"3":132,"4":180,"5":240,"6":100,"7":120,"8":30,"11":1.2,"12":1.2,"13":1}	2201008	2202001	2203004	["0101027","0102042","0103053","","0105010","0106054"]	{"id":"0301012","damage":45,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305002","damage":45,"success":70,"time":70,"rage":0,"blood":70}	1100901					[]	[]	[]
2001136	9020129	{"1":108,"2":252,"3":120,"4":216,"5":204,"6":110,"7":130,"8":40,"11":1.2,"12":1.3,"13":0.9}	2201008	2202001	2203004	["0101026","0102034","0103060","","0105008",""]	{"id":"0301012","damage":50,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305002","damage":50,"success":70,"time":70,"rage":0,"blood":70}	1100901					[]	[]	[]
2001137	9020130	{"1":120,"2":360,"3":204,"4":324,"5":240,"6":60,"7":60,"8":60,"11":1.2,"12":1.2,"13":1.2,"22":1500}	2201009	2202003	2203001	["0101030","0102016","0103057","","0105004","0106052"]	{"id":"0301011","damage":100,"success":0,"time":70,"rage":100,"blood":1}	{"id":"0305008","damage":1,"success":70,"time":150,"rage":0,"blood":0}	1100901					[]	[]	[]
2001138	9020131	{"1":180,"2":384,"3":180,"4":348,"5":216,"6":50,"7":50,"8":50,"11":1.2,"12":1.2,"13":1.2,"22":2000}	2201008	2202001	2203001	["0101031","0102060","0103055","","0105010","0106052"]	{"id":"0301011","damage":100,"success":0,"time":70,"rage":100,"blood":1}	{"id":"0305008","damage":1,"success":70,"time":150,"rage":0,"blood":0}	1100901					[]	[]	[]
2001139	9020132	{"1":216,"2":320,"3":176,"4":240,"5":160,"6":200,"7":100,"8":80,"11":1.2,"12":1.2,"13":1.2,"21":300}	2201010	2202001	2203001	["0101032","0102054","0103006","","0105005","0106059"]	{"id":"0301009","damage":70,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305009","damage":50,"success":70,"time":70,"rage":0,"blood":0}	1100905					[]	[]	[]
2001140	9020133	{"1":240,"2":304,"3":264,"4":200,"5":168,"6":250,"7":120,"8":70,"11":1.2,"12":1.2,"13":1.2,"21":500}	2201009	2202002	2203001	["0101033","0102103","0103013","","0105009","0106059"]	{"id":"0301009","damage":70,"success":0,"time":70,"rage":70,"blood":70}	{"id":"0305009","damage":50,"success":70,"time":70,"rage":0,"blood":0}	1100905					[]	[]	[]
2001141	9020134	{"1":296,"2":376,"3":320,"4":352,"5":240,"6":80,"7":100,"8":200,"11":1.25,"12":1.2,"13":1.2}	2201008	2202001	2203002	["0101034","0102047","0103001","","0105013","0106053"]	{"id":"0301004","damage":70,"success":0,"time":130,"rage":70,"blood":70}	{"id":"0305001","damage":30,"success":70,"time":150,"rage":0,"blood":0}	1100905					[]	[]	[]
2001142	9020135	{"1":320,"2":336,"3":280,"4":360,"5":232,"6":60,"7":130,"8":250,"11":1.25,"12":1.2,"13":1.2}	2201010	2202001	2203002	["0101035","0102020","0103052","","0105061","0106053"]	{"id":"0301004","damage":70,"success":0,"time":130,"rage":70,"blood":70}	{"id":"0305001","damage":30,"success":70,"time":150,"rage":0,"blood":0}	1100905					[]	[]	[]
2001143	9020136	{"1":352,"2":400,"3":320,"4":376,"5":240,"6":200,"7":200,"8":60,"11":1.2,"12":1.2,"13":1.2,"22":5000}	2201009	2202001	2203003	["0101030","0102057","0103014","","0105053","0106058"]	{"id":"0301008","damage":50,"success":0,"time":200,"rage":30,"blood":30}	{"id":"0305009","damage":50,"success":70,"time":70,"rage":0,"blood":70}	1100906					[]	[]	[]
2001144	9020137	{"1":344,"2":392,"3":304,"4":400,"5":320,"6":250,"7":250,"8":50,"11":1.2,"12":1.2,"13":1.2,"22":8000}	2201008	2202001	2203003	["0101027","0102016","0103056","","0105053","0106058"]	{"id":"0301008","damage":50,"success":0,"time":200,"rage":30,"blood":30}	{"id":"0305004","damage":50,"success":70,"time":70,"rage":0,"blood":70}	1100902					[]	[]	[]
2001145	9020138	{"1":240,"2":320,"3":400,"4":400,"5":376,"6":80,"7":100,"8":200,"11":1.2,"12":1.25,"13":1.2}	2201010	2202005	2203001	["0101018","0102020","0103058","","0105058",""]	{"id":"0301003","damage":100,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305003","damage":60,"success":40,"time":40,"rage":0,"blood":40}	1100904					[]	[]	[]
2001146	9020139	{"1":224,"2":304,"3":480,"4":440,"5":408,"6":60,"7":130,"8":250,"11":1.2,"12":1.3,"13":1.2}	2201008	2202005	2203001	["0101030","0102060","0103060","","0105010",""]	{"id":"0301003","damage":120,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305003","damage":70,"success":40,"time":40,"rage":0,"blood":40}	1100901					[]	[]	[]
2001147	9020140	{"1":320,"2":296,"3":544,"4":424,"5":424,"6":100,"7":100,"8":100,"11":1.2,"12":1.25,"13":1.25}	2201008	2202005	2203002	["0101031","0102054","0103057","","0105008",""]	{"id":"0301002","damage":150,"success":0,"time":200,"rage":80,"blood":80}	{"id":"0305004","damage":50,"success":100,"time":100,"rage":0,"blood":100}	1100907					[]	[]	[]
2001148	9020141	{"1":304,"2":280,"3":520,"4":416,"5":440,"6":90,"7":90,"8":90,"11":1.2,"12":1.3,"13":1.3}	2201008	2202005	2203001	["0101032","0102016","0103055","","0105004",""]	{"id":"0301002","damage":180,"success":0,"time":200,"rage":80,"blood":80}	{"id":"0305004","damage":60,"success":100,"time":100,"rage":0,"blood":100}	1100907					[]	[]	[]
2001149	9020142	{"1":280,"2":304,"3":560,"4":360,"5":360,"6":200,"7":80,"8":100,"11":1.2,"12":1,"13":1,"21":800}	2201008	2202005	2203001	["0101033","0102025","0103006","","0105010","0106056"]	{"id":"0301005","damage":30,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305005","damage":50,"success":40,"time":40,"rage":0,"blood":40}	1100902					[]	[]	[]
2001150	9020143	{"1":296,"2":256,"3":544,"4":384,"5":352,"6":250,"7":60,"8":120,"11":1.2,"12":0.9,"13":1.2,"21":1500}	2201009	2202005	2203002	["0101034","0102055","0103013","","0105005","0106056"]	{"id":"0301005","damage":35,"success":0,"time":40,"rage":40,"blood":40}	{"id":"0305005","damage":50,"success":40,"time":40,"rage":0,"blood":40}	1100901					[]	[]	[]
2001151	9020144	{"1":320,"2":400,"3":560,"4":400,"5":408,"6":80,"7":200,"8":100,"11":1.2,"12":1.2,"13":1.2}	2201009	2202005	2203003	["0101035","0102052","0103056","","0105009","0106056"]	{"id":"0301006","damage":200,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0305007","damage":45,"success":80,"time":80,"rage":0,"blood":80}	1100907					[]	[]	[]
2001152	9020145	{"1":336,"2":376,"3":576,"4":332,"5":424,"6":60,"7":250,"8":120,"11":1.2,"12":1.2,"13":1.2}	2201008	2202005	2203001	["0101027","0102056","0103057","","0105013","0106056"]	{"id":"0301006","damage":250,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0305007","damage":50,"success":80,"time":80,"rage":0,"blood":80}	1100902					[]	[]	[]
2001153	9020146	{"1":328,"2":416,"3":616,"4":408,"5":400,"6":250,"7":80,"8":80,"11":1.2,"12":1.2,"13":1.2,"22":3000}	2201010	2202005	2203002	["0101024","0102061","0103054","","0105061","0106051"]	{"id":"0301008","damage":100,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0305003","damage":80,"success":80,"time":80,"rage":0,"blood":80}	1100906	0302012				[]	[]	[]
2001154	9020147	{"1":352,"2":400,"3":600,"4":448,"5":464,"6":300,"7":70,"8":70,"11":1.2,"12":1.2,"13":1.2,"22":5000}	2201008	2202005	2203004	["0101022","0102044","0103008","","0105013","0106051"]	{"id":"0301008","damage":150,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0305003","damage":80,"success":80,"time":80,"rage":0,"blood":80}	1100906	0302012				[]	[]	[]
2001155	9020148	{"1":352,"2":440,"3":640,"4":400,"5":496,"6":60,"7":250,"8":250,"11":1.2,"12":1,"13":0.9}	2201008	2202005	2203001	["0101029","0102059","0103052","","0105013","0106051"]	{"id":"0305010","damage":60,"success":50,"time":1,"rage":0,"blood":1}	{"id":"0305009","damage":60,"success":50,"time":1,"rage":0,"blood":1}	1100903					[]	[]	[]
2001156	9020149	{"1":384,"2":424,"3":584,"4":432,"5":480,"6":50,"7":300,"8":300,"11":1.2,"12":0.9,"13":0.9}	2201008	2202005	2203002	["0101030","0102029","0103006","","0105013","0106051"]	{"id":"0305010","damage":80,"success":50,"time":1,"rage":0,"blood":1}	{"id":"0305009","damage":70,"success":50,"time":1,"rage":0,"blood":1}	1100903					[]	[]	[]
2001157	9020150	{"1":605,"2":550,"3":435,"4":400,"5":425,"6":80,"7":80,"8":80,"11":1.25,"12":1.2,"13":1.2,"22":2500,"24":500}	2201008	2202001	2203004	["0101026","0102045","0103004","","0105054","0106054"]	{"id":"0301008","damage":100,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0301012","damage":1,"success":0,"time":100,"rage":100,"blood":100}	1100907	0302012				[]	[]	[]
2001158	9020151	{"1":525,"2":510,"3":465,"4":385,"5":475,"6":70,"7":70,"8":70,"11":1.25,"12":1.2,"13":1.2,"22":3500,"24":1500}	2201009	2202001	2203001	["0101013","0102057","0103009","","0105001","0106052"]	{"id":"0301008","damage":150,"success":0,"time":80,"rage":80,"blood":80}	{"id":"0301012","damage":1,"success":0,"time":100,"rage":100,"blood":100}	1100901	0302012				[]	[]	[]
2001159	9020152	{"1":600,"2":565,"3":500,"4":390,"5":485,"6":200,"7":80,"8":200,"11":1.25,"12":1.2,"13":1.2,"22":1500}	2201008	2202001	2203001	["0101013","0102016","0103007","","0105001","0106052"]	{"id":"0305003","damage":65,"success":90,"time":90,"rage":0,"blood":90}	{}	1100906					[]	[]	[]
